orbit_date_time	land_cover_type
20190104_0425	Shrublands
20190104_0425	Shrublands
20190105_0406	Shrublands
20190106_0528	Shrublands
20190107_0509	Shrublands
20190108_0450	Shrublands
20190110_0554	Shrublands
20190114_0438	Shrublands
20190114_0438	Shrublands
20190114_0438	Shrublands
20190901_0433	Savannas
20190905_0317	Savannas
20190906_0258	Grasslands
20190908_0401	Shrublands
20190910_0504	Grasslands
20190910_0504	Grasslands
20190911_0445	Shrublands
20190911_0445	Grasslands
20190913_0407	Grasslands
20190914_0347	Savannas
20190914_0347	Everg_bl_forests
20190915_0510	Shrublands
20190915_0510	Shrublands
20190917_0432	Grasslands
20190918_0412	Grasslands
20190919_0353	Everg_bl_forests
20190920_0516	Grasslands
20190925_0340	Grasslands
20190925_0521	Grasslands
20190925_0521	Grasslands
20190926_0502	Grasslands
20190926_0502	Grasslands
20190926_0502	Grasslands
20190926_0502	Grasslands
20190927_0443	Grasslands
20190928_0424	Grasslands
20190929_0405	Shrublands
20190929_0405	Grasslands
20190929_0405	Grasslands
20190929_0546	Shrublands
20190930_0346	Shrublands
20190930_0346	Grasslands
20190930_0527	Shrublands
20190930_0527	Shrublands
20190930_0527	Grasslands
20191001_0327	Shrublands
20191001_0508	Grasslands
20191001_0508	Grasslands
20191001_0508	Savannas
20191001_0508	Grasslands
20191001_0508	Shrublands
20191001_0508	Grasslands
20191001_0508	Grasslands
20191001_0508	Grasslands
20191002_0449	Grasslands
20191002_0449	Grasslands
20191002_0449	Grasslands
20191002_0449	Grasslands
20191002_0449	Grasslands
20191002_0449	Grasslands
20191002_0449	Grasslands
20191003_0430	Grasslands
20191003_0430	Grasslands
20191003_0430	Grasslands
20191004_0411	Shrublands
20191004_0411	Grasslands
20191004_0411	Savannas
20191004_0552	Grasslands
20191005_0352	Grasslands
20191005_0533	Shrublands
20191006_0332	Everg_bl_forests
20191006_0514	Shrublands
20191006_0514	Shrublands
20191007_0313	Everg_bl_forests
20191007_0455	Grasslands
20191007_0455	Grasslands
20191007_0455	Grasslands
20191008_0254	Grasslands
20191008_0436	Grasslands
20191008_0436	Shrublands
20191008_0436	Grasslands
20191008_0436	Grasslands
20191008_0436	Grasslands
20191008_0436	Grasslands
20191008_0436	Grasslands
20191009_0416	Shrublands
20191009_0416	Shrublands
20191009_0416	Savannas
20191010_0357	Grasslands
20191010_0357	Grasslands
20191010_0357	Grasslands
20191010_0357	Savannas
20191010_0357	Grasslands
20191010_0357	Savannas
20191010_0539	Grasslands
20191011_0338	Shrublands
20191011_0520	Shrublands
20191011_0520	Grasslands
20191011_0520	Grasslands
20191011_0520	Grasslands
20191011_0520	Shrublands
20191012_0501	Grasslands
20191012_0501	Grasslands
20191012_0501	Grasslands
20191012_0501	Shrublands
20191012_0501	Grasslands
20191012_0501	Grasslands
20191012_0501	Savannas
20191012_0501	Grasslands
20191012_0501	Savannas
20191012_0501	Grasslands
20191012_0501	Grasslands
20191012_0501	Grasslands
20191013_0300	Savannas
20191013_0441	Grasslands
20191013_0441	Shrublands
20191013_0441	Savannas
20191013_0441	Grasslands
20191013_0441	Grasslands
20191013_0441	Grasslands
20191013_0441	Shrublands
20191013_0441	Grasslands
20191014_0241	Savannas
20191014_0422	Grasslands
20191014_0422	Savannas
20191014_0422	Grasslands
20191014_0422	Savannas
20191014_0422	Grasslands
20191014_0422	Grasslands
20191014_0422	Grasslands
20191014_0422	Grasslands
20191014_0422	Savannas
20191014_0422	Grasslands
20191014_0422	Everg_bl_forests
20191014_0422	Shrublands
20191014_0422	Shrublands
20191015_0403	Savannas
20191015_0403	Savannas
20191015_0403	Shrublands
20191015_0403	Savannas
20191015_0403	Savannas
20191015_0403	Shrublands
20191015_0545	Shrublands
20191016_0344	Grasslands
20191016_0344	Grasslands
20191016_0344	Grasslands
20191016_0344	Savannas
20191016_0344	Grasslands
20191016_0344	Grasslands
20191016_0525	Shrublands
